Kingdom;Phylum;Class;Order;Family;Genus;Species
0002acba558af29cc54e77bca8832c6f;NA;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;NA;NA
00063133504715e688ce7618aa1a8d28;NA;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Niastella;NA
000901d9ed33a9c822d20696a5c3b4a4;NA;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter;NA
000a675ca0e685226a01c60a3a080bb1;NA;Pseudomonadota;Alphaproteobacteria;Elsterales;NA;NA;NA
000b1184cc7a0c3ce8eff4f99735637a;NA;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;NA;NA
0018e83eccd588a4a30ba441ab1fd324;NA;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;NA
001eb4bbd2324100fc7a52f8221d094f;NA;Myxococcota;Polyangiia;Nannocystales;Nannocystaceae;NA;NA
00257aec9f6dd804d8db583c9d9f1aa7;NA;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;Cellvibrio;NA
002ebf81565651ebd6ed6516cd97946c;NA;Actinomycetota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;NA
0049963e95f0afadc25e5398a5707586;NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067;NA
0049fdb8a0e0d61cc10b789ff84129ec;NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;966-1;NA
004fa7a018d2cded16f15f7df5df798a;NA;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter;NA
005d184da66938f8795118f1774ca1ba;NA;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;NA
00626f0aa88f83455901df4528b2c1b7;NA;Pseudomonadota;Gammaproteobacteria;Rickettsiellales;Rickettsiellaceae;NA;NA
0063de02c8d9dabe1062cc6fa558eed7;NA;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;NA
00709116df19f6fd310e15aaca0359af;NA;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;NA
00712a794c2c92fa92d2676b2e680963;NA;Chloroflexota;TK10;NA;NA;NA;NA
0074a64cf87a2dd0b117abcbc83c4b4c;NA;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;NA;NA
0074c7628f7f97dfa2a4d7cb113c2ef8;NA;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;NA;NA
00768cdf9fbd501359986aca5d87ba84;NA;NA;NA;SJA-28;NA;NA;NA
0078744b7ec3597865b697eff21c8540;NA;Latescibacterota;NA;NA;NA;NA;NA
00b0879a65e34f0d39e7642d06f6dcff;NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;SC-I-84;NA;NA
00be23f53c23fb56bdb65a56cda4b766;NA;Chlamydiota;Chlamydiia;Chlamydiales;Simkaniaceae;NA;NA
00bedf3112e1c835b9c2e48f9c1d3b05;NA;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;NA
00c49ae3f6edbafd01ab68438ef3d985;NA;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;NA;NA
