"Sample","Annotated_frac","Annotated_pct"
"AAUU-9633",0.3704,37.04
"ABYU-1769",0.3425,34.25
"ACCD-2050",0.4334,43.34
"ADFG-0883",0.374,37.4
"ADRY-7975",0.3537,35.37
"AMRS-2996",0.2408,24.08
"ANSR-7322",0.3429,34.29
"ASYL-8794",0.3661,36.61
"ATVE-4706",0.3816,38.16
"AYMB-9840",0.4221,42.21
"BMXU-2646",0.3793,37.93
"BWAH-7786",0.4123,41.23
"CFUT-1361",0.4513,45.13
"CLAZ-1741",0.3684,36.84
"CUKZ-1354",0.4163,41.63
"CXVX-2483",0.3652,36.52
"CYDF-6005",0.363,36.3
"CZNX-8208",0.3564,35.64
"DCZZ-2268",0.3711,37.11
"DDFM-7086",0.3849,38.49
"DFEG-5724",0.3828,38.28
"DKET-3953",0.4444,44.44
"DVRL-5974",0.3939,39.39
"DWZD-2970",0.298,29.8
"ECXB-7736",0.3482,34.82
"EGYL-8394",0.3439,34.39
"EKEU-5230",0.4121,41.21
"FXVX-5458",0.4782,47.82
"GMZM-2492",0.3608,36.08
"GMZY-3370",0.4103,41.03
"GTGW-9125",0.4061,40.61
"HGCM-1731",0.38,38
"KAYX-7850",0.3153,31.53
"KLHL-1664",0.3689,36.89
"KRLF-5417",0.4195,41.95
"KUDU-4159",0.3665,36.65
"LFHM-8572",0.3744,37.44
"LGEK-1643",0.4205,42.05
"LHFX-6255",0.3377,33.77
"LMBB-6732",0.3631,36.31
"MATX-2859",0.3575,35.75
"MAXN-7578",0.3928,39.28
"MCNG-1977",0.4088,40.88
"MCXS-8440",0.3338,33.38
"MFBV-9997",0.3998,39.98
"MKBU-1271",0.3923,39.23
"MSWW-7707",0.406,40.6
"MUPU-7804",0.4988,49.88
"MVYH-0136",0.461,46.1
"NNBU-1363",0.3799,37.99
"NZBD-8516",0.3646,36.46
"NZHT-3133",0.3686,36.86
"PFDR-4626",0.3408,34.08
"RADV-7442",0.3753,37.53
"RMBE-6031",0.4264,42.64
"RNRR-2817",0.4045,40.45
"RZLN-1813",0.4084,40.84
"SABG-9406",0.3826,38.26
"SPSC-2142",0.415,41.5
"SYFZ-4902",0.3733,37.33
"TSHA-6691",0.3761,37.61
"UNEK-3204",0.3584,35.84
"UPHX-0563",0.3696,36.96
"URDN-9010",0.4266,42.66
"UXMD-2904",0.3935,39.35
"UYYP-4584",0.3537,35.37
"VAAG-4516",0.385,38.5
"VEBS-8692",0.3809,38.09
"VKSV-1524",0.3479,34.79
"VNMV-9588",0.3975,39.75
"VUYY-7155",0.4286,42.86
"WCBT-7220",0.4144,41.44
"WHEW-9166",0.3656,36.56
"WKPD-0206",0.3977,39.77
"WLSB-8478",0.4722,47.22
"WPMG-6210",0.3764,37.64
"WRWG-8081",0.4106,41.06
"WTEK-2667",0.3474,34.74
"WVHV-1777",0.3394,33.94
"WWKA-8326",0.4187,41.87
"XDCP-1662",0.3929,39.29
"XFMB-8490",0.361,36.1
"XGXK-3754",0.4173,41.73
"XLPG-2239",0.3395,33.95
"XRGV-5022",0.4019,40.19
"XWPS-1467",0.4011,40.11
"YDRG-0701",0.3771,37.71
"YHPX-9257",0.3948,39.48
"YNEF-8778",0.4187,41.87
"YPLG-2426",0.3783,37.83
"YRVF-7585",0.3836,38.36
"ZUCZ-4824",0.4076,40.76
"ZUWK-0804",0.4878,48.78
"ZUYD-2339",0.3348,33.48
"ZVYP-4168",0.3865,38.65
